source_row_id,original_material_label,candidate_series,analysis_pollutant_label,analysis_adsorption_type,adsorption_type_mapping_status,pollutant_label_mapping_status,ordered_source_series,analysis_endpoint_candidate
2763,Pristine SCW Biochar,temperature_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,temperature,Q_e
2764,Pristine SCW Biochar,temperature_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,temperature,Q_e
2765,Pristine SCW Biochar,kinetics_pattern; isotherm_pattern; pH_pattern; ionic_strength_pattern; temperature_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,temperature,Q_e
2766,Pristine SCW Biochar,temperature_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,temperature,Q_e
2821,NaOH-activated SCW biochars,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2822,NaOH-activated SCW biochars,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2823,NaOH-activated SCW biochars,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2824,NaOH-activated SCW biochars,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2825,NaOH-activated SCW biochars,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2826,NaOH-activated SCW biochars,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2827,NaOH-activated SCW biochars,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2828,NaOH-activated SCW biochars,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2829,NaOH-activated SCW biochars,kinetics_pattern; isotherm_pattern; pH_pattern; ionic_strength_pattern; temperature_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2830,NaOH-activated SCW biochars,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2831,NaOH-activated SCW biochars,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2832,NaOH-activated SCW biochars,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2833,NaOH-activated SCW biochars,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2834,NaOH-activated SCW biochars,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2835,NaOH-activated SCW biochars,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2836,NaOH-activated SCW biochars,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2837,NaOH-activated SCW biochars,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2838,NaOH-activated SCW biochars,kinetics_pattern; isotherm_pattern; pH_pattern; ionic_strength_pattern; temperature_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
2839,NaOH-activated SCW biochars,kinetics_pattern,IBU,Competitive,analysis_copy_recode_from_raw_Single,canonical_or_source_label_retained,kinetics,Q_t
